,year,total_points
0,2003,0.014546447322769792
1,2004,0.01419533607492819
2,2005,0.0133917694942563
3,2006,0.02185632610237939
4,2007,0.03458611139312067
5,2008,0.046827981231913826
6,2009,0.05055711583653822
7,2010,0.02781221975174792
8,2011,0.01014721417378843
9,2012,0.011946013937395191
10,2013,0.021435902222344542
11,2014,0.03923825998843675
12,2015,0.022438551976728897
13,2016,0.0434334344250306
14,2017,0.10453481331520838
15,2018,0.12381108326621909
16,2019,0.16837198673252346
17,2020,0.21221547662856827
18,2021,0.15852220247899712
19,2022,0.14646771521753613
