,year,total_points
0,2003,0.15564399990426295
1,2004,0.1600142485690836
2,2005,0.16315897029511828
3,2006,0.1724630316544123
4,2007,0.17032127744216893
5,2008,0.18911423788039491
6,2009,0.20221171610911884
7,2010,0.20218178764352276
8,2011,0.1830242561471365
9,2012,0.20208124788898055
10,2013,0.21133008477786558
11,2014,0.2541296494596099
12,2015,0.2789264133645074
13,2016,0.30461235729884095
14,2017,0.3485086958455954
15,2018,0.38323515654202467
16,2019,0.40489969476072324
17,2020,0.4137053952021637
18,2021,0.4271939445886031
19,2022,0.41686889876352606
