,year,total_points
0,2003,0.2528746388582586
1,2004,0.2754745187758849
2,2005,0.2734485434657829
3,2006,0.2636739283156155
4,2007,0.29401060717506033
5,2008,0.2927648891128164
6,2009,0.2921454080152801
7,2010,0.3025028736877061
8,2011,0.31976301452716194
9,2012,0.3198100037844279
10,2013,0.34339331067265394
11,2014,0.34209862302313176
12,2015,0.35553227837353174
13,2016,0.3697952044523186
14,2017,0.39154790984473076
15,2018,0.3929767556224271
16,2019,0.4211963239218707
17,2020,0.45045898134781537
18,2021,0.44775540570162153
19,2022,0.45118508330678536
