,year,total_points
0,2003,0.16970036517143922
1,2004,0.17995548626727415
2,2005,0.1889176482302845
3,2006,0.20043573915488905
4,2007,0.21071552462605406
5,2008,0.21779630161878147
6,2009,0.22390299980024145
7,2010,0.2272979637823941
8,2011,0.22777873006496704
9,2012,0.23589958071687497
10,2013,0.2582585266548349
11,2014,0.2701725827113089
12,2015,0.2844993710343218
13,2016,0.30183903385225574
14,2017,0.33455125227430343
15,2018,0.35247203245437253
16,2019,0.3823827483143927
17,2020,0.4083156869462908
18,2021,0.4056483983209132
19,2022,0.407836016819445
